Turbine_ID,Status.Summary,X.coordinate,Y.coordinate,Old.Ref.ID,Ref.ID,Record.Last.Updated..dd.mm.yyyy.,Operator..or.Applicant.,Site.Name,Capacity,RO.Banding..ROC.MWh.,FiT.Tariff..p.kWh.,CfD.Capacity..MW.,Turbine.Capacity..MW.,No..of.Turbines,Height.of.Turbines..m.,Development.Status,Development.Status..short.,Address,County,Region,Country,Post.Code,Planning.Authority,Planning.Application.Reference,Appeal.Reference,Secretary.of.State.Reference,Type.of.Secretary.of.State.Intervention,Judicial.Review,Planning.Application.Submitted,Planning.Application.Withdrawn,Planning.Permission.Refused,Appeal.Lodged,Appeal.Withdrawn,Appeal.Refused,Appeal.Granted,Planning.Permission.Granted,Secretary.of.State...Intervened,Secretary.of.State...Refusal,Secretary.of.State...Granted,Planning.Permission.Expired,Under.Construction,Operational,Size,Year,Airports,AONB,ARoads,BRoads,HCoast,HVpowerline,MilitarySites,MinRoads,Motorways,NationalParks,NNR,Powerlines,PrimaryRoads,Railway,RAMSAR,SACS,SPA,SSSI,UrbanRegions,Slope,UKElevation,WindSpeed45,Authority,Code,Type,Council_si,Con,Lab,LD,Other,SNP_PC,Control,Majority,Con_share,Lab_share,LD_share,Oth_share,SNP_PC_sha,CensusMerged,PoliticalMerged,AgeTotal,AgeMean,AgeMedian,QualTotal,QualLevel4,QualPercL4,SocGrdTot,SocGrdAB,TenureTotal,TenureOwned,PercOwn,lon,lat,Est_Turbine.Capacity..MW.,Est_UrbanRegions,Est_AONB,Est_NationalParks,Est_RAMSAR,Est_SPA,Est_QualPercL4,Est_AgeMean,Est_year,Site Score
L_0001,Refused/Abandoned,258200,650100,N00187W,4016,06/12/2012,Robert McCoull,Over Enoch Farm,6.5,NA,NA,NA,1.3,5,NA,Abandoned,Abandoned,"Over Enoch Farm
Eaglesham
East Renfrewshire",Strathclyde,Scotland,Scotland,NA,East Renfrewshire Council,2003/0350,NA,NA,NA,NA,08/05/2003,NA,NA,NA,NA,NA,NA,02/09/2004,NA,NA,NA,NA,NA,NA,Large,2003,18.788,37.644,5.718,1.953,139.637,2.094,11.141,0.006,6.924,35.329,13.797,2.094,3.256,4.372,21.45,9.311,14.195,6.844,1.439,2.34054327,170,7,East Renfrewshire,8013,12,20,7,8,3,2,0,NOC,11,35,40,15,10,0,S01001670,East Renfrewshire,639,40,42,492,180,37,371,33.2,250,225,90,-4.259230373,55.72350104,0.45641627,0.494401996,0.52394016,0.47865769,0.504046857,0.493173215,0.426427223,0.537464434,0.65403321,0.551032654
L_0002,Refused/Abandoned,430000,590000,N00361W,3255,24/09/2010,Scottish Power Renewables,Lynemouth Windfarm,2.4,NA,NA,NA,0.8,3,NA,Abandoned,Abandoned,North of Ashington,Northumberland,North East,England,NA,Northumberland County Council,CM/20060877,NA,NA,NA,NA,13/10/2006,NA,30/05/2007,NA,NA,NA,20/02/2008,20/02/2008,NA,NA,NA,NA,NA,NA,Large,2006,19.746,15.075,1.122,2.371,3.336,0.196,13.732,0.091,25.08,24.386,41.356,0.262,1.328,0.268,1.368,15.292,1.375,1.115,0.268,1.16084981,6,7,Northumberland,2800,2,67,14,35,14,4,NA,Lab,34,20.89552239,52.23880597,20.89552239,5.970149254,NA,E01027542,Northumberland,1811,40.8,41,1422,167,12,548,6.8,843,323,38,-1.530186715,55.20335209,0.4230372,0.447130735,0.47471162,0.458884616,0.461692043,0.531891895,0.621155664,0.526741956,0.571276285,0.496586373
L_0003,Refused/Abandoned,496525,425211,C1436,3645,29/04/2016,Seneca Global Energy,Melton Waste Park,5,NA,NA,NA,2.5,2,119,Abandoned,Abandoned,Land South West Of Melton Waste Park Gibson Lane South Melton East Riding Of Yorkshire HU14 3HH,Humberside,Yorkshire and Humber,England,NA,East Riding of Yorkshire Council,13/01806/STPLFE,NA,NA,NA,NA,14/06/2013,NA,NA,NA,NA,NA,NA,19/12/2013,NA,NA,NA,NA,NA,NA,Large,2013,18.93,28.676,4.011,1.995,43.516,5.083,10.05,0.421,11.012,57.955,4.586,5.083,1.359,0.616,0.588,0.584,0.584,0.584,1.366,0.290249705,2,6,East Riding Of Yorkshire,2021,11,67,53,6,3,5,NA,Con,34,79.10447761,8.955223881,4.47761194,7.462686567,NA,E01013090,East Riding of Yorkshire,1414,43.9,45,1176,429,36,368,35.9,587,505,86,-0.538916153,53.71439893,0.537558011,0.491443361,0.504381093,0.519683364,0.460054118,0.534273082,0.434182377,0.485048728,0.370742007,0.320454216
L_0004,Refused/Abandoned,456000,524000,N00073W,3125,29/06/2011,Corus,Tees Wind North,45,NA,NA,NA,2.5,18,NA,Abandoned,Abandoned,"Corus site
, Middleborough
, Teeside
",Cleveland,North East,England,NA,Redcar and Cleveland Borough Council,R/2001/936/FF,NA,NA,NA,NA,16/12/2001,NA,NA,NA,NA,NA,NA,16/07/2002,NA,NA,NA,NA,NA,NA,Large,2001,20.472,40.802,1.354,4.397,10.997,0.87,5.379,0.565,24.392,9.085,2.778,0.87,3.046,0.533,2.243,11.372,2.246,1.892,0.774,0.411097705,5,7,Redcar & Cleveland,722,11,59,14,31,11,3,NA,Lab,30,23.72881356,52.54237288,18.6440678,5.084745763,NA,E01012107,Redcar and Cleveland (B),1404,42.2,43,1145,94,8,415,5.8,666,279,42,-1.134530768,54.60806911,0.537558011,0.467490262,0.530813342,0.431466092,0.463530441,0.529268203,0.650446001,0.507924086,0.704742659,0.781391962
L_0005,Refused/Abandoned,393000,419300,07036W5,3482,08/10/2013,Coronation Power,Crook Hill (Rochdale MBC),14,NA,NA,NA,2,7,NA,Abandoned,Abandoned,"Nr Watergrove Reservoir, Littleborough, Greater Manchester",Greater Manchester,North West,England,NA,Rochdale Borough Council,07/D48920,NA,NA,NA,NA,20/03/2007,NA,NA,NA,NA,NA,NA,31/07/2009,NA,NA,NA,NA,NA,NA,Large,2007,18.706,21.162,2.886,3.032,125.072,1.189,25.742,0.951,5.423,12.999,33.483,1.194,1.526,1.313,39.258,1.948,1.948,1.948,1.417,3.38852787,379,8,Rochdale,4805,5,60,8,20,32,0,NA,LD,31,13.33333333,33.33333333,53.33333333,0,NA,E01005518,Rochdale District (B),1425,40.4,41,1160,265,23,433,18,591,420,71,-2.107426386,53.67012712,0.503744024,0.493510302,0.48798035,0.438446709,0.541576239,0.53016605,0.536549831,0.532106902,0.542515894,0.583877927
L_0006,Refused/Abandoned,423215,427292,A0097,3675,25/03/2015,NA,Mars Petcare,2,NA,NA,NA,2,1,NA,Abandoned,Abandoned,"Oakwell Way, Birstall, Batley WF17 9LU",West Yorkshire,Yorkshire and Humber,England,NA,Kirklees Council,2009/62/93375/E1,APP/Z4718/A/10/2128426,NA,NA,NA,02/12/2009,NA,01/04/2010,NA,NA,NA,06/09/2010,06/09/2010,NA,NA,NA,NA,NA,NA,Large,2009,12.92,19.125,0.09,0.844,101.626,0.051,7.541,0.094,0.541,21.851,40.908,0.146,0.655,2.591,46.918,12.118,17.277,7.797,0,2.484986067,166,7,Kirklees,5303,5,69,22,22,19,6,NA,NOC,35,31.88405797,31.88405797,27.53623188,8.695652174,NA,E01011050,Kirklees District (B),1520,42.5,45,1256,276,22,441,21.3,620,549,89,-1.649506117,53.74149669,0.503744024,0.436414463,0.483537186,0.454320216,0.557599992,0.483859687,0.544406823,0.50388694,0.484331429,0.43049062
L_0007,Refused/Abandoned,358734,392095,EN00557,4115,03/07/2014,Wind Direct,Causeway Bridges Wind Farm,4,NA,NA,NA,2,2,NA,Abandoned,Abandoned,"Land adjacent to the M62, Causeway Bridges Farm, Alder Lane, Burtonwood, Warrington, WA5 4BN",Cheshire,North West,England,NA,Warrington Borough Council,2008/12807,NA,NA,NA,NA,28/04/2008,NA,NA,NA,NA,NA,NA,29/05/2008,NA,NA,NA,NA,NA,NA,Large,2008,15.713,45.826,0.953,3.244,135.216,0.199,11.795,0.289,0.503,37.162,16.712,0.225,1.786,0.717,11.715,7.597,11.714,4.151,0.797,0.822153091,11,6,Warrington,628,11,57,7,22,28,0,NA,NOC,29,12.28070175,38.59649123,49.12280702,0,NA,E01012469,Warrington (B),1546,41.9,42,1291,271,21,467,16.7,624,513,82,-2.62244962,53.4240247,0.503744024,0.468418794,0.541722658,0.481978013,0.483484424,0.500674324,0.552241771,0.5119602,0.513469294,0.535922865
L_0008,Refused/Abandoned,533065,258036,N00130W,3162,29/06/2011,Mrs. W Ward,Rockery Farm,2,NA,NA,NA,2,1,NA,Abandoned,Abandoned,"Broadway
Bourn
CB3 7TA",Cambridgeshire,Eastern,England,NA,South Cambridgeshire District Council,S1569/02/F,NA,NA,NA,NA,02/08/2002,NA,NA,NA,NA,NA,NA,17/06/2007,NA,NA,NA,NA,NA,NA,Large,2002,4.118,32.349,2.377,2.099,93.154,4.655,6.041,0.005,8.74,103.031,24.143,4.656,1.741,11.066,17.772,4.723,17.772,1.559,1.065,0.290249705,65,6,South Cambridgeshire,506,1,55,22,6,16,11,NA,NOC,28,40,10.90909091,29.09090909,20,NA,E01033116,South Cambridgeshire District,1686,38.1,39,1274,611,48,476,45.2,641,424,66,-0.054202852,52.2044949,0.503744024,0.479252662,0.512396876,0.600101386,0.496275976,0.482364717,0.344243819,0.562774109,0.679919171,0.640045106
L_0009,Refused/Abandoned,256500,962000,EN00094,3929,16/08/2016,Melness Crofters Estate,Melness,2.6,NA,NA,NA,0.85,3,NA,Abandoned,Abandoned,"Near Melness
, Sutherland",Highland,Scotland,Scotland,NA,Highland Council,06/00271/FULSU,NA,NA,NA,NA,12/07/2006,NA,NA,NA,NA,NA,NA,22/10/2008,NA,NA,NA,NA,NA,NA,Large,2006,83.76,1.018,2.594,15.061,335.68,6.554,19.797,1.473,244.799,134.658,27.639,6.554,53.96,37.43,1.579,1.574,1.574,1.574,1.629,1.199999213,120,8,Highland,8018,12,80,0,8,10,56,6,Ind,41,0,10,12.5,70,7.5,S01003990,Highland,522,45.4,48,434,115,26,316,13,238,176,74,-4.465675809,58.52240793,0.4263488,0.502103873,0.444236332,0.653713454,0.462135266,0.531292602,0.512885306,0.464913372,0.571276285,0.551541318
L_0010,Refused/Abandoned,444854,306031,B1271,4286,26/02/2016,Renewable Energy Systems Ltd (RES),Stonehaven Wind Turbine,1.5,NA,NA,NA,1.5,1,NA,Abandoned,Abandoned,Land East Of Bagworth Road Newbold Heath Newbold Verdon Leicestershire,Leicestershire,East Midlands,England,NA,Hinckley and Bosworth Borough Council,14/00381/FUL,NA,NA,NA,NA,14/04/2014,NA,NA,NA,NA,NA,NA,23/07/2014,NA,NA,NA,NA,NA,NA,Large,2014,12.375,38.779,3.021,0.151,130.25,0.365,15.632,0.572,4.512,50.088,8.712,0.387,5.966,1.846,42.746,10.714,42.746,3.858,1.627,0.582254112,145,7,Hinckley & Bosworth,2404,1,34,14,1,19,0,NA,LD,18,41.17647059,2.941176471,55.88235294,0,NA,E01025875,Hinckley and Bosworth District (B),1518,41.7,42,1232,192,16,444,12.6,658,404,61,-1.338435806,52.65016444,0.469895753,0.502022799,0.526411595,0.505420761,0.548885394,0.407909242,0.590954447,0.514650109,0.343977251,0.385002609
L_0011,Refused/Abandoned,377538,339757,EN00592,3067,13/09/2011,Claymoss Properties Limited,Maer Hills Wind Farm,8,NA,NA,NA,2,4,NA,Abandoned,Abandoned,"Maer Hills
, Nantwich Road
, Blackbrook
, Newcastle",Staffordshire,West Midlands,England,NA,Newcastle Under Lyme Borough Council,08/00550/FUL,NA,NA,NA,NA,12/06/2008,NA,NA,NA,NA,NA,NA,16/02/2009,NA,NA,NA,NA,NA,NA,Large,2008,20.568,26.052,0.943,4.231,177,3.917,8.69,0.786,4.819,28.614,12.812,3.918,0.766,2.003,8.269,12.728,31.648,1.591,1.001,3.495463133,186,7,Newcastle-Under-Lyme,3404,1,60,25,12,19,4,NA,NOC,31,41.66666667,20,31.66666667,6.666666667,NA,E01029570,Newcastle-under-Lyme District (B),2468,46.6,50,2073,784,38,641,40.2,1035,882,85,-2.335790362,52.95471315,0.503744024,0.476663311,0.498652978,0.466512348,0.476215519,0.44068268,0.418708084,0.448883886,0.513469294,0.246245567
L_0012,Refused/Abandoned,282500,368500,A0255,4064,18/08/2015,Vattenfall,Nant Bach Re-submission,27.5,NA,NA,NA,2.5,11,NA,Abandoned,Abandoned,"Mwdwl Eithin near Llanfihangel Glyn Myfyr, Conwy",Gwynedd,Wales,Wales,NA,Conwy County Borough Council,0/35170,NA,NA,NA,NA,12/07/2008,NA,NA,NA,NA,NA,NA,11/03/2009,NA,NA,NA,NA,NA,NA,Large,2008,24.473,22.057,4.446,0.892,143.814,0.931,13.164,1.006,48.702,5.411,5.615,0.931,4.202,4.441,19.819,6.812,11.155,2.659,2.651,7.525412083,347,7,Conwy,7001,13,59,22,7,4,14,12,NOC,30,37.28813559,11.86440678,6.779661017,23.72881356,20.33898305,W01000137,Conwy - Conwy,1537,44.3,47,1278,441,35,420,24.5,630,479,76,-3.760491587,53.20055059,0.537558011,0.543423527,0.489933192,0.424938144,0.500600897,0.502364495,0.441969892,0.479671838,0.513469294,0.412237612
L_0013,Refused/Abandoned,532606,307038,A0086,4080,01/04/2016,WPR Wind Ltd,Nutsgrove Wind Farm,14.4,NA,NA,NA,2,7,NA,Abandoned,Abandoned,"Land Near Nutsgrove Farm, Scolding Drove, Thorney, Peterborough",Cambridgeshire,Eastern,England,PE6 0TP,Peterborough City Council,06/01051/FUL,08/00040/NONDET,NA,NA,NA,07/07/2006,NA,05/09/2008,NA,NA,NA,01/04/2010,01/04/2010,NA,NA,NA,NA,NA,NA,Large,2006,19.311,32.309,7.5,1.352,52.208,1.809,16.89,0.082,22.562,90.012,20.594,1.809,2.813,10.238,5.915,6.706,5.913,5.913,3.224,0.290249705,0,6,Peterborough,525,11,57,34,4,5,14,NA,Con,29,59.64912281,7.01754386,8.771929825,24.56140351,NA,E01015618,City of Peterborough (B),1084,42.1,44,879,163,19,315,13,451,307,68,-0.041496439,52.64488051,0.503744024,0.566367241,0.512309609,0.577229289,0.471255651,0.518206133,0.567830351,0.509269598,0.571276285,0.752090171
L_0014,Refused/Abandoned,302996,349751,EN00510,3975,17/12/2015,AGR Renewables,Derwydd Bach Wind Farm,23,NA,NA,NA,2.3,10,NA,Abandoned,Abandoned,"Melin-Y-Wig, Corwe, Denbighshire",Clwyd,Wales,Wales,NA,Denbighshire County Council,04/2007/0964,NA,NA,NA,NA,20/07/2007,NA,NA,NA,NA,NA,NA,21/07/2011,NA,NA,NA,NA,NA,NA,Large,2007,14.778,7.258,6.523,0.718,162.137,4.76,25.345,0.686,41.037,12.985,9.989,4.76,3.963,10.906,17.571,7.254,8.074,1.978,1.247,1.563325882,344,7,Denbighshire,7010,13,47,7,8,2,23,7,NOC,24,14.89361702,17.0212766,4.255319149,48.93617021,14.89361702,W01000202,Sir Ddinbych - Denbighshire,1686,41.2,44,1326,478,36,459,29.6,654,566,87,-3.448100459,53.03620855,0.524056383,0.486621759,0.45772656,0.438421694,0.495851321,0.511678078,0.434182377,0.521370828,0.542515894,0.391561617
L_0015,Refused/Abandoned,304304,366301,A0160,4082,31/05/2016,Wind Power Wales,Brenig Wind Farm,40,NA,NA,45,2.5,16,NA,Abandoned,Abandoned,"Denbigh Moors, Denbigh, Clwyd. LL16",Denbighshire,Wales,Wales,NA,Denbighshire County Council,25/2007/0565,NA,NA,NA,NA,26/04/2007,NA,NA,NA,NA,NA,NA,23/01/2008,NA,NA,NA,NA,NA,NA,Large,2007,3.632,6.016,0.174,0.141,145.678,6.164,9.952,0.835,31.582,22.708,13.227,6.164,8.53,14.765,17.392,3.115,15.622,0.786,0.141,3.243629456,121,6,Denbighshire,7010,13,47,7,8,2,23,7,NOC,24,14.89361702,17.0212766,4.255319149,48.93617021,14.89361702,W01000199,Sir Ddinbych - Denbighshire,1690,41.7,44,1402,394,28,504,14.7,715,458,64,-3.433539784,53.18516583,0.537558011,0.442045751,0.455035896,0.455862469,0.49547315,0.488859967,0.497070204,0.514650109,0.542515894,0.407866426
L_0016,Refused/Abandoned,444250,84250,N00133W,3164,05/12/2008,CP Hodgeson / National Wind Power,Cheverton Down,1.2,NA,NA,NA,0.6,2,NA,Abandoned,Abandoned,Isle of Wight,Isle of Wight,South East,England,NA,Isle of Wight Council,NA,NA,NA,NA,NA,31/05/2001,NA,NA,NA,NA,NA,NA,20/11/2002,NA,NA,NA,NA,NA,NA,Large,2001,13.292,0,2.912,1.568,2.392,8.073,6.271,1.623,25.806,12.624,5.993,8.073,24.244,11.74,5.995,2.199,5.995,1.724,1.542,2.338897705,165,8,Isle of Wight,2121,11,48,12,5,19,12,NA,NOC,25,25,10.41666667,39.58333333,25,NA,E01017297,Isle of Wight,1437,44.8,47,1190,342,29,388,22.9,606,473,78,-1.375377218,50.65625387,0.409862615,0.498577127,0.442042767,0.437776795,0.471424123,0.517958523,0.489162874,0.472957488,0.704742659,0.434064535
L_0017,Refused/Abandoned,296600,191300,AA577,3834,06/02/2013,Npower Renewables,Fforch Nest Wind Farm,16,NA,NA,NA,2.6,6,NA,Abandoned,Abandoned,"land north of glynogwr, Blackmill, Bridgend",Mid Glamorgan,Wales,Wales,NA,Rhondda Cynon Taff County Borough Council,06/1688/03,NA,NA,NA,NA,23/08/2006,NA,NA,NA,NA,NA,NA,25/08/2009,NA,NA,NA,NA,NA,NA,Large,2006,24.917,33.283,2.637,1.605,42.213,6.84,9.331,1.596,9.433,14.258,16.639,6.84,11.086,3.293,24.801,5.643,28.904,2.025,1.694,5.916244984,373,9,Rhondda Cynon Taff,7018,13,75,0,57,2,3,13,Lab,38,0,76,2.666666667,4,17.33333333,W01001248,Rhondda Cynon Taf - Rhondda Cynon Taf,2054,39.4,38,1667,302,18,634,13.9,864,640,74,-3.494661378,51.61100421,0.544289466,0.50473868,0.514434341,0.440697461,0.511125248,0.44887803,0.575576521,0.545484157,0.571276285,0.632197918
L_0018,Refused/Abandoned,273119,210852,NA,5624,06/10/2015,Awel Aman Tawe Community Energy,Mynydd Y Gwrhyd Windfarm (resubmission),4.7,NA,NA,NA,2.35,2,100,Abandoned,Abandoned,"Mynydd Gwrhyd, (OS 727 107) north of Pontardawe and east of Cwmgors",Neath Port Talbot,Wales,Wales,NA,Neath Port Talbot County Borough Council,P2007/1413,APP/Y6930/A/08/2092727,NA,NA,NA,20/09/2007,NA,17/06/2008,15/12/2008,NA,NA,07/05/2009,07/05/2009,NA,NA,NA,07/05/2014,NA,NA,Large,2007,24.422,22.471,2.178,4.429,59.65,2.697,19.938,1.006,12.432,3.056,11.584,2.697,10.235,2.093,14.928,13.285,20.587,1.314,1.495,3.718724966,329,7,Neath Port Talbot,7014,13,64,0,36,2,16,10,Lab,33,0,56.25,3.125,25,15.625,W01000919,Castell-nedd Port Talbot - Neath Port Talbot,1172,41.7,43,966,205,21,362,13.3,504,381,76,-3.840712889,51.78190272,0.527435866,0.496671911,0.490836626,0.420767369,0.490268209,0.473869813,0.552241771,0.514650109,0.542515894,0.486940143
L_0019,Refused/Abandoned,307500,614500,EN00298,4364,30/11/2016,Wind Energy Ltd,Earlshaugh Wind Farm,55.2,NA,NA,NA,2.3,22,NA,Abandoned,Abandoned,Devil's Beef Tub near Moffat,Borders,Scotland,Scotland,NA,Scottish Government (S36),n/a,NA,NA,NA,NA,25/06/2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Large,2008,55.113,16.495,2.324,4.621,99.73,4.954,49.363,3.531,4.518,62.804,31.96,4.954,11.253,4.996,32.291,0.121,24.64,0.123,3.459,6.538836479,417,9,Scottish Borders,8005,12,34,11,0,10,7,6,NOC,18,32.35294118,0,29.41176471,20.58823529,17.64705882,S01005394,Scottish Borders,863,41.6,45,694,284,41,551,33.6,365,235,64,-3.462732092,55.41565714,0.524056383,0.575700978,0.477804501,0.52845996,0.526926207,0.461666734,0.395802204,0.515994754,0.513469294,0.496965879
L_0020,Refused/Abandoned,302500,533500,EN00491,3048,29/06/2011,Flimby Wind Energy Ltd,Land at Flimby Hall Farm,9.5,NA,NA,NA,3.16,3,NA,Abandoned,Abandoned,"Flimby, Maryport, Cumbria",Cumbria,North West,England,NA,Allerdale Borough Council,2/2007/1255,NA,NA,NA,NA,05/12/2007,NA,NA,NA,NA,NA,NA,14/10/2008,NA,NA,NA,NA,NA,NA,Large,2007,28.596,3.865,3.253,4.378,19.339,1.42,6.204,0.064,42.903,10.063,12.798,1.425,0.398,0.575,13.073,3.024,13.017,2.712,0,3.945774794,23,7,Allerdale,901,1,56,19,21,4,12,NA,NOC,29,33.92857143,37.5,7.142857143,21.42857143,NA,E01019099,Allerdale District (B),1707,41,42,1412,141,10,532,8.6,749,449,60,-3.513971488,54.68707391,0.58162002,0.436414463,0.450382273,0.433207916,0.486351047,0.496734629,0.635926744,0.524057088,0.542515894,0.56828244
L_0021,Refused/Abandoned,632000,261000,N00374W,3262,01/07/2011,Your Energy Ltd,Parham Airfield (wind),13.8,NA,NA,NA,2.3,6,NA,Abandoned,Abandoned,"Parham Airfield
between Great Glenham and Marlesford",Suffolk,Eastern,England,NA,Suffolk Coastal District Council,C05/0400,NA,NA,NA,NA,01/03/2005,NA,NA,NA,NA,NA,NA,05/10/2005,NA,NA,NA,NA,NA,NA,Large,2005,11.887,7.095,5.153,1.603,7.934,2.189,4.644,0.479,83.284,28.37,15.474,2.189,2.764,4.347,8.199,8.2,6.516,2.804,0.945,0.649392009,40,6,Suffolk Coastal,3506,1,55,42,2,11,0,NA,Con,28,76.36363636,3.636363636,20,0,NA,E01030176,Suffolk Coastal District,1977,45.8,49,1647,614,37,558,34.6,852,588,69,1.393433762,52.19838002,0.524056383,0.474398652,0.457373293,0.466071688,0.476067957,0.51638509,0.426427223,0.459560492,0.599563165,0.380842396
L_0022,Refused/Abandoned,313860,478710,NA,5077,03/10/2016,Partnerships for Renewables,Haverigg Prison (resubmission),9,NA,NA,NA,1.8,5,100,Abandoned,Abandoned,"Land to west & south of HMP Prison, Off North Lane, Haverigg, Millom, Cumbria",Cumbria,North West,England,LA18 4NA,Copeland Borough Council,4/15/2022/0F1,NA,NA,NA,NA,23/01/2015,NA,NA,NA,NA,NA,NA,10/06/2015,NA,NA,NA,10/06/2020,NA,NA,Large,2015,7.681,29.842,1.8,14.317,37.672,3.481,3.371,0.965,37.704,1.759,5.285,3.481,3.75,1.758,0.102,0.103,0.103,0.103,1.441,0.290249705,11,NA,Copeland,904,1,51,17,29,0,5,NA,Lab,26,33.33333333,56.8627451,0,9.803921569,NA,E01019283,Copeland District (B),1849,42.4,41,1666,252,15,356,14,574,466,81,-3.321854384,54.19688309,0.490191433,0.494483061,0.506926157,0.418475123,0.459033999,0.535720304,0.59857915,0.505232738,0.318167736,0.307196762
L_0023,Refused/Abandoned,492500,274500,EN00492,3973,06/12/2012,Burton Wold Wind Farm Extension Ltd,Burton Wold Wind Farm Extension,16.1,NA,NA,NA,2.3,7,NA,Abandoned,Abandoned,Felaw Maltings,Northamptonshire,East Midlands,England,NA,Kettering Borough Council,KET/2007/1033,NA,NA,NA,NA,23/11/2007,NA,NA,NA,NA,NA,NA,11/03/2008,NA,NA,NA,NA,NA,NA,Large,2007,11.249,44.965,0.946,3.44,103.71,0.151,14.176,0.761,25.923,104.713,26.573,0.194,1.704,3.455,3.975,29.942,3.983,1.621,1.767,1.563325882,88,7,Kettering,2704,1,36,28,6,0,2,NA,Con,19,77.77777778,16.66666667,0,5.555555556,NA,E01027101,Kettering District (B),2422,37.3,38,1879,434,23,783,19.3,1017,729,72,-0.643081948,52.36076162,0.524056383,0.50769745,0.539855593,0.603027005,0.467172297,0.52403119,0.536549831,0.573341472,0.542515894,0.767507738
L_0024,Refused/Abandoned,2.00E+05,70000,N00036W,4007,06/12/2012,Renewable Energy Generation Limited - previously E.on,St. Breock Re-Power,10.4,NA,NA,NA,0.94,11,NA,Abandoned,Abandoned,"St. Breock
North Cornwall
Cornwall",Cornwall,South West,England,NA,Cornwall Council,2002-1897,NA,NA,NA,NA,15/06/2002,NA,NA,NA,NA,NA,NA,30/01/2003,NA,NA,NA,NA,NA,NA,Large,2002,8.972,3.311,1.653,2.996,8.635,2.139,13.173,0.059,94.667,47.162,8.691,2.143,3.08,4.718,95.837,0.715,37.342,0.715,0.021,6.976675987,78,7,Cornwall,800,2,79,9,9,36,25,NA,NOC,40,11.39240506,11.39240506,45.56962025,31.64556962,NA,E01018924,Cornwall,1140,43.9,46,955,261,27,302,16.9,467,323,69,-4.821264323,50.49557602,0.432326166,0.437252163,0.449185083,0.500112528,0.655851275,0.423784355,0.504979,0.485048728,0.679919171,0.558507562
L_0026,Refused/Abandoned,295856,199544,C3001,3643,22/05/2015,Greencoat UK Wind,Maerdy extension,3,NA,NA,NA,3,1,NA,Abandoned,Abandoned,Land between Maerdy Coal Tip and Tynewydd Forest,Mid Glamorgan,Wales,Wales,NA,Rhondda Cynon Taff County Borough Council,14/0556/10,NA,NA,NA,NA,01/05/2014,NA,NA,NA,NA,NA,NA,22/12/2014,NA,NA,NA,09/02/2015,NA,NA,Large,2014,32.957,34.563,1.218,2.239,50.347,6.093,7.502,2.901,17.136,6.162,9.737,6.093,5.442,2.364,24.36,6.172,34.248,2.534,1.376,7.292871475,447,8,Rhondda Cynon Taff,7018,13,75,1,59,1,5,9,Lab,38,1.333333333,78.66666667,1.333333333,6.666666667,12,W01001202,Rhondda Cynon Taf - Rhondda Cynon Taf,1780,42.2,45,1461,129,9,570,4.6,839,532,63,-3.507859155,51.68496501,0.571029996,0.491848623,0.517225792,0.426270468,0.510193907,0.432947047,0.643219262,0.507924086,0.343977251,0.421624635
L_0027,Refused/Abandoned,343216,445233,EN00527,3979,22/02/2013,Cornwall Light and Power,Orchard End,4,NA,NA,NA,2,2,NA,Abandoned,Abandoned,"land at Orchard End, near Pilling, Eagland Hill, Preston",Lancashire,North West,England,NA,Wyre Borough Council,08/00204,NA,NA,NA,NA,01/03/2008,NA,07/05/2008,NA,NA,NA,16/12/2010,16/12/2010,NA,NA,NA,NA,NA,NA,Large,2008,3.755,7.863,3.229,4.706,81.687,0.784,9.422,0.039,7.676,33.475,17.627,0.792,6.678,7.435,4.646,4.646,4.647,2.249,0,0.649392009,9,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E01025585,Wyre District (B),2293,44.4,48,1907,505,26,587,21.5,890,753,85,-2.865678929,53.90013804,0.503744024,0.436414463,0.459038132,0.475301245,0.468584163,0.522027787,0.512885306,0.478328302,0.513469294,0.351925018
L_0028,Refused/Abandoned,314375,687820,B1257,3357,23/06/2016,Airvolution Energy,J2a,4.7,NA,NA,NA,2.35,2,NA,Abandoned,Abandoned,east of the M90 at Junction 2a,Fife,Scotland,Scotland,NA,Fife Council,14/00316/EIA,NA,NA,NA,NA,31/01/2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Large,2014,12.998,45.421,1.474,0.138,88.811,1.748,5.136,1.119,0.824,52.189,10.353,1.748,1.156,1.489,4.632,26.114,4.632,2.876,0.43,1.695746779,113,8,Fife,8016,12,78,3,35,10,4,26,NOC,40,3.846153846,44.87179487,12.82051282,5.128205128,33.33333333,S01002648,Fife,1143,39.4,42,930,223,24,780,19.5,464,377,81,-3.377178323,56.07550407,0.527435866,0.45363304,0.540844565,0.509231627,0.4685547,0.522073052,0.528674649,0.545484157,0.343977251,0.413572918
